Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T00:08:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:33Z,1,00:18,19:42,Faceoff,n/a,-69.0,-22.0,Brad Richardson,Winner,Arizona Coyotes,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:55Z,1,00:22,19:38,Giveaway,n/a,-97.0,23.0,Jakob Chychrun,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:56Z,1,00:25,19:35,Missed Shot,n/a,-33.0,37.0,Matt Niskanen,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:05Z,1,00:34,19:26,Shot,Tip-In,-21.0,39.0,Claude Giroux,Shooter,Philadelphia Flyers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:12Z,1,00:39,19:21,Giveaway,n/a,-91.0,31.0,Jakob Chychrun,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:29Z,1,00:57,19:03,Shot,Wrist Shot,69.0,-34.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:52Z,1,00:57,19:03,Faceoff,n/a,69.0,-22.0,Christian Dvorak,Winner,Arizona Coyotes,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:24Z,1,01:18,18:42,Takeaway,n/a,-65.0,-38.0,Kevin Hayes,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:29Z,1,01:23,18:37,Blocked Shot,n/a,-49.0,25.0,Phil Kessel,Blocker,Arizona Coyotes,Justin Braun,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
