Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-21T03:39:43Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:41:11Z,1,00:47,19:13,Hit,n/a,61.0,-39.0,Vincent Trocheck,Hitter,Florida Panthers,Ben Hutton,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:41:52Z,1,01:26,18:34,Goal,Snap Shot,-42.0,-4.0,Gabriel Vilardi,Scorer,Los Angeles Kings,Kurtis MacDermid,Assist,Los Angeles Kings,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a
2020-02-21T03:42:36Z,1,01:26,18:34,Faceoff,n/a,0.0,0.0,Gabriel Vilardi,Winner,Los Angeles Kings,Dominic Toninato,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:42:49Z,1,01:36,18:24,Hit,n/a,-91.0,-29.0,Dominic Toninato,Hitter,Florida Panthers,Gabriel Vilardi,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:42:56Z,1,01:44,18:16,Hit,n/a,-64.0,41.0,Frank Vatrano,Hitter,Florida Panthers,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:43:06Z,1,01:50,18:10,Hit,n/a,-83.0,-35.0,Josh Brown,Hitter,Florida Panthers,Adrian Kempe,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:43:05Z,1,01:52,18:08,Shot,Slap Shot,-38.0,-11.0,Derek Forbort,Shooter,Los Angeles Kings,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:43:36Z,1,01:53,18:07,Faceoff,n/a,-69.0,-22.0,Trevor Lewis,Winner,Los Angeles Kings,Colton Sceviour,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-21T03:44:10Z,1,02:08,17:52,Faceoff,n/a,-69.0,22.0,Aleksi Saarela,Winner,Florida Panthers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
