Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-07T00:06:12Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nathan MacKinnon,Winner,Colorado Avalanche,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:06:56Z,1,00:21,19:39,Missed Shot,n/a,-37.0,33.0,Gabriel Landeskog,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:20:28Z,1,00:29,19:31,Blocked Shot,n/a,-71.0,1.0,Brock Nelson,Blocker,New York Islanders,Cale Makar,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:07:06Z,1,00:30,19:30,Missed Shot,n/a,-39.0,-24.0,Gabriel Landeskog,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:07:10Z,1,00:34,19:26,Blocked Shot,n/a,-77.0,-1.0,Brock Nelson,Blocker,New York Islanders,Cale Makar,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:07:25Z,1,00:49,19:11,Shot,Slap Shot,38.0,34.0,Anders Lee,Shooter,New York Islanders,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:07:40Z,1,01:01,18:59,Shot,Slap Shot,45.0,-29.0,Johnny Boychuk,Shooter,New York Islanders,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:07:59Z,1,01:01,18:59,Faceoff,n/a,69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Mathew Barzal,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:08:24Z,1,01:20,18:40,Blocked Shot,n/a,-81.0,-6.0,Johnny Boychuk,Blocker,New York Islanders,Nazem Kadri,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-07T00:08:36Z,1,01:20,18:40,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
