Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-02T23:09:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Casey Mittelstadt,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:10:04Z,1,00:23,19:37,Hit,n/a,-79.0,37.0,Michael Dal Colle,Hitter,New York Islanders,Henri Jokiharju,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:10:11Z,1,00:29,19:31,Shot,Snap Shot,42.0,17.0,Conor Sheary,Shooter,Buffalo Sabres,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:10:18Z,1,00:37,19:23,Shot,Backhand,83.0,3.0,Vladimir Sobotka,Shooter,Buffalo Sabres,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:10:27Z,1,00:45,19:15,Blocked Shot,n/a,72.0,-5.0,Michael Dal Colle,Blocker,New York Islanders,Colin Miller,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:11:04Z,1,01:23,18:37,Missed Shot,n/a,44.0,20.0,Jake McCabe,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:11:30Z,1,01:49,18:11,Shot,Wrist Shot,-33.0,-34.0,Noah Dobson,Shooter,New York Islanders,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:11:58Z,1,02:09,17:51,Hit,n/a,91.0,-29.0,Marcus Johansson,Hitter,Buffalo Sabres,Johnny Boychuk,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:13:10Z,1,03:28,16:32,Missed Shot,n/a,37.0,-32.0,Kyle Okposo,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:13:39Z,1,03:37,16:23,Faceoff,n/a,69.0,22.0,Casey Mittelstadt,Winner,Buffalo Sabres,Cole Bardreau,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:14:12Z,1,04:04,15:56,Hit,n/a,-96.0,5.0,Brandon Montour,Hitter,Buffalo Sabres,Cal Clutterbuck,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T23:14:46Z,1,04:38,15:22,Blocked Shot,n/a,60.0,-20.0,Josh Bailey,Blocker,New York Islanders,Rasmus Ristolainen,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
