Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T03:38:52Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Alexander Kerfoot,Winner,Toronto Maple Leafs,Gabriel Vilardi,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:36Z,1,00:11,19:49,Hit,n/a,33.0,-36.0,Kyle Clifford,Hitter,Toronto Maple Leafs,Gabriel Vilardi,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:44Z,1,00:21,19:39,Shot,Slap Shot,-65.0,27.0,Martin Frk,Shooter,Los Angeles Kings,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:39:51Z,1,00:29,19:31,Giveaway,n/a,59.0,34.0,Kurtis MacDermid,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:40:02Z,1,00:36,19:24,Hit,n/a,86.0,-33.0,Kyle Clifford,Hitter,Toronto Maple Leafs,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:40:18Z,1,00:56,19:04,Hit,n/a,-14.0,40.0,Dustin Brown,Hitter,Los Angeles Kings,Travis Dermott,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:40:22Z,1,00:57,19:03,Giveaway,n/a,95.0,0.0,Jonathan Quick,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:25Z,1,01:47,18:13,Shot,Tip-In,-86.0,9.0,Blake Lizotte,Shooter,Los Angeles Kings,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:21Z,1,01:48,18:12,Faceoff,n/a,-69.0,22.0,Blake Lizotte,Winner,Los Angeles Kings,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T03:41:43Z,1,01:54,18:06,Missed Shot,n/a,-55.0,40.0,Matt Roy,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
