Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-14T17:06:33Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:07:40Z,1,00:06,19:54,Faceoff,n/a,0.0,0.0,Brock Nelson,Winner,New York Islanders,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:07:56Z,1,00:17,19:43,Hit,n/a,96.0,-34.0,Michael Dal Colle,Hitter,New York Islanders,Jay Bouwmeester,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:08:55Z,1,01:16,18:44,Giveaway,n/a,38.0,-33.0,Carl Gunnarsson,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:09:04Z,1,01:25,18:35,Shot,Wrist Shot,82.0,-23.0,Mathew Barzal,Shooter,New York Islanders,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:09:41Z,1,02:02,17:58,Giveaway,n/a,-39.0,29.0,Nick Leddy,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:09:44Z,1,02:05,17:55,Giveaway,n/a,-17.0,39.0,Nick Leddy,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:01Z,1,02:22,17:38,Hit,n/a,-20.0,-38.0,Ross Johnston,Hitter,New York Islanders,Vince Dunn,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:21Z,1,02:39,17:21,Shot,Wrap-around,88.0,9.0,Cal Clutterbuck,Shooter,New York Islanders,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:43Z,1,02:39,17:21,Faceoff,n/a,0.0,0.0,Brock Nelson,Winner,New York Islanders,Oskar Sundqvist,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:17Z,1,03:08,16:52,Missed Shot,n/a,-33.0,41.0,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:24Z,1,03:16,16:44,Takeaway,n/a,56.0,37.0,Colton Parayko,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:37Z,1,03:28,16:32,Giveaway,n/a,-16.0,-23.0,Scott Mayfield,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:53Z,1,03:28,16:32,Faceoff,n/a,-20.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Mathew Barzal,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:15Z,1,03:42,16:18,Giveaway,n/a,-94.0,23.0,Ryan Pulock,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:18Z,1,03:45,16:15,Blocked Shot,n/a,-60.0,15.0,Anders Lee,Blocker,New York Islanders,Colton Parayko,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:27Z,1,03:54,16:06,Blocked Shot,n/a,62.0,16.0,Colton Parayko,Blocker,St. Louis Blues,Tom Kuhnhackl,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:40Z,1,04:07,15:53,Giveaway,n/a,38.0,21.0,Adam Pelech,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:07Z,1,04:33,15:27,Shot,Wrist Shot,83.0,9.0,Oliver Wahlstrom,Shooter,New York Islanders,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:10Z,1,04:37,15:23,Hit,n/a,96.0,9.0,Oliver Wahlstrom,Hitter,New York Islanders,Justin Faulk,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:28Z,1,04:54,15:06,Hit,n/a,-62.0,39.0,Sammy Blais,Hitter,St. Louis Blues,Nick Leddy,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:55Z,1,04:54,15:06,Faceoff,n/a,-20.0,22.0,Leo Komarov,Winner,New York Islanders,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:13Z,1,05:12,14:48,Missed Shot,n/a,53.0,-7.0,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:21Z,1,05:18,14:42,Blocked Shot,n/a,74.0,9.0,Alexander Steen,Blocker,St. Louis Blues,Devon Toews,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:27Z,1,05:27,14:33,Takeaway,n/a,-45.0,-32.0,Oskar Sundqvist,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:43Z,1,05:42,14:18,Blocked Shot,n/a,-38.0,16.0,Ross Johnston,Blocker,New York Islanders,Ivan Barbashev,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:54Z,1,05:54,14:06,Giveaway,n/a,-58.0,-34.0,Jay Bouwmeester,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:15:35Z,1,06:35,13:25,Shot,Wrist Shot,-64.0,-30.0,Vladimir Tarasenko,Shooter,St. Louis Blues,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
