Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-05T01:10:08Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:10:45Z,1,00:14,19:46,Hit,n/a,87.0,-31.0,Dominik Simon,Hitter,Pittsburgh Penguins,Colton Parayko,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:11:18Z,1,00:26,19:34,Faceoff,n/a,20.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:11:30Z,1,00:34,19:26,Hit,n/a,92.0,-33.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Carl Gunnarsson,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:11:38Z,1,00:39,19:21,Goal,Tip-In,77.0,3.0,Teddy Blueger,Scorer,Pittsburgh Penguins,Marcus Pettersson,Assist,Pittsburgh Penguins,Brandon Tanev,Assist,Pittsburgh Penguins,Jordan Binnington,Goalie,St. Louis Blues
2019-12-05T01:12:18Z,1,00:39,19:21,Faceoff,n/a,0.0,0.0,Jared McCann,Winner,Pittsburgh Penguins,Tyler Bozak,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:12:28Z,1,00:49,19:11,Hit,n/a,-15.0,40.0,Justin Faulk,Hitter,St. Louis Blues,Jared McCann,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:13:05Z,1,01:26,18:34,Shot,Snap Shot,42.0,-19.0,Marcus Pettersson,Shooter,Pittsburgh Penguins,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:13:13Z,1,01:33,18:27,Shot,Tip-In,78.0,-2.0,Jared McCann,Shooter,Pittsburgh Penguins,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T01:13:38Z,1,01:34,18:26,Faceoff,n/a,69.0,-22.0,Sam Lafferty,Winner,Pittsburgh Penguins,Jacob de la Rose,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
